HBA_SMILES,HBD_SMILES,Other_SMILES,ratio_HBA_to_HBD,ratio_Other_to_HBD,property_value,property_type,property_unity,Temperature_C
CC[N+](CC)(CC)CC1=CC=CC=C1.[Cl-],C(CO)O,O,0.04,0.03,358.1,viscosity,cp,7.4
CC[N+](CC)(CC)CC1=CC=CC=C1.[Cl-],C(CO)O,O,0.04,0.03,208.8,viscosity,cp,15
CC[N+](CC)(CC)CC1=CC=CC=C1.[Cl-],C(CO)O,O,0.04,0.03,103.6,viscosity,cp,25
CC[N+](CC)(CC)CC1=CC=CC=C1.[Cl-],C(CO)O,O,0.04,0.03,59.9,viscosity,cp,35
CC[N+](CC)(CC)CC1=CC=CC=C1.[Cl-],C(CO)O,O,0.04,0.03,36.6,viscosity,cp,45
CC[N+](CC)(CC)CC1=CC=CC=C1.[Cl-],C(CO)O,O,0.04,0.03,21.7,viscosity,cp,55
CC[N+](CC)(CC)CC1=CC=CC=C1.[Cl-],C(CO)O,O,0.04,0.03,12.4,viscosity,cp,65
CC[N+](CC)(CC)CC1=CC=CC=C1.[Cl-],C(CO)O,O,0.04,0.03,6.4,viscosity,cp,75
CC[N+](CC)(CC)CC1=CC=CC=C1.[Cl-],C(CO)O,O,0.04,0.03,0.109,conductivity,mS/cm,-19.8
CC[N+](CC)(CC)CC1=CC=CC=C1.[Cl-],C(CO)O,O,0.04,0.03,0.617,conductivity,mS/cm,0
CC[N+](CC)(CC)CC1=CC=CC=C1.[Cl-],C(CO)O,O,0.04,0.03,2.454,conductivity,mS/cm,24.7
CC[N+](CC)(CC)CC1=CC=CC=C1.[Cl-],C(CO)O,O,0.04,0.03,4.459,conductivity,mS/cm,40
CC[N+](CC)(CC)CC1=CC=CC=C1.[Cl-],C(CO)O,O,0.04,0.03,4.566,conductivity,mS/cm,40.2
CC[N+](CC)(CC)CC1=CC=CC=C1.[Cl-],C(CO)O,O,0.04,0.03,9.153,conductivity,mS/cm,60
[Cl-].C[N+](C)(C)CCO,C(CO)O,O,0.04,0.03,90.2,viscosity,cp,6.2
[Cl-].C[N+](C)(C)CCO,C(CO)O,O,0.04,0.03,72,viscosity,cp,10
[Cl-].C[N+](C)(C)CCO,C(CO)O,O,0.04,0.03,57.7,viscosity,cp,15
[Cl-].C[N+](C)(C)CCO,C(CO)O,O,0.04,0.03,37,viscosity,cp,25
[Cl-].C[N+](C)(C)CCO,C(CO)O,O,0.04,0.03,24.4,viscosity,cp,35
[Cl-].C[N+](C)(C)CCO,C(CO)O,O,0.04,0.03,15.8,viscosity,cp,45
[Cl-].C[N+](C)(C)CCO,C(CO)O,O,0.04,0.03,8.4,viscosity,cp,55
[Cl-].C[N+](C)(C)CCO,C(CO)O,O,0.04,0.03,4.5,viscosity,cp,60
[Cl-].C[N+](C)(C)CCO,C(CO)O,O,0.04,0.03,1.703,conductivity,mS/cm,-8.87
[Cl-].C[N+](C)(C)CCO,C(CO)O,O,0.04,0.03,3.874,conductivity,mS/cm,7.6
[Cl-].C[N+](C)(C)CCO,C(CO)O,O,0.04,0.03,7.926,conductivity,mS/cm,27.5
[Cl-].C[N+](C)(C)CCO,C(CO)O,O,0.04,0.03,12.144,conductivity,mS/cm,39.2
[Cl-].C[N+](C)(C)CCO,C(CO)O,O,0.04,0.03,12.04,conductivity,mS/cm,39
[Cl-].C[N+](C)(C)CCO,C(CO)O,O,0.04,0.03,12.086,conductivity,mS/cm,39.1
[Cl-].C[N+](C)(C)CCO,C(CO)O,O,0.04,0.03,3.37,electrochemical_window,V,26.4
[Cl-].C[N+](C)(C)CCO,C(CO)O,O,0.04,0.03,3.26,electrochemical_window,V,40.2
[Cl-].C[N+](C)(C)CCO,NC(N)=O,O,0.04,0.03,0.455,conductivity,mS/cm,26.3
[Cl-].C[N+](C)(C)CCO,NC(N)=O,O,0.04,0.03,1.473,conductivity,mS/cm,39.9
[Cl-].C[N+](C)(C)CCO,NC(N)=O,O,0.04,0.03,1.508,conductivity,mS/cm,40.3
[Cl-].C[N+](C)(C)CCO,NC(N)=O,O,0.04,0.03,4.98,conductivity,mS/cm,59.1
[Cl-].C[N+](C)(C)CCO,NC(N)=O,O,0.04,0.03,5.04,conductivity,mS/cm,59.5
[Cl-].C[N+](C)(C)CCO,NC(N)=O,O,0.04,0.03,4.31,electrochemical_window,V,25.5
[Cl-].C[N+](C)(C)CCO,NC(N)=O,O,0.04,0.03,4.12,electrochemical_window,V,39.4
[Cl-].C[N+](C)(C)CCO,OCC(O)CO,O,0.04,0.03,1843,viscosity,cp,5
[Cl-].C[N+](C)(C)CCO,OCC(O)CO,O,0.04,0.03,1213,viscosity,cp,10
[Cl-].C[N+](C)(C)CCO,OCC(O)CO,O,0.04,0.03,796,viscosity,cp,15
[Cl-].C[N+](C)(C)CCO,OCC(O)CO,O,0.04,0.03,374,viscosity,cp,25
[Cl-].C[N+](C)(C)CCO,OCC(O)CO,O,0.04,0.03,173,viscosity,cp,35
[Cl-].C[N+](C)(C)CCO,OCC(O)CO,O,0.04,0.03,110,viscosity,cp,45
[Cl-].C[N+](C)(C)CCO,OCC(O)CO,O,0.04,0.03,66,viscosity,cp,55
[Cl-].C[N+](C)(C)CCO,OCC(O)CO,O,0.04,0.03,42,viscosity,cp,65
[Cl-].C[N+](C)(C)CCO,OCC(O)CO,O,0.04,0.03,28,viscosity,cp,75
[Cl-].C[N+](C)(C)CCO,OCC(O)CO,O,0.04,0.03,0.125,conductivity,mS/cm,-8.6
[Cl-].C[N+](C)(C)CCO,OCC(O)CO,O,0.04,0.03,1.245,conductivity,mS/cm,26.8
[Cl-].C[N+](C)(C)CCO,OCC(O)CO,O,0.04,0.03,2.392,conductivity,mS/cm,39
[Cl-].C[N+](C)(C)CCO,OCC(O)CO,O,0.04,0.03,3.572,conductivity,mS/cm,49.1
[Cl-].C[N+](C)(C)CCO,OCC(O)CO,O,0.04,0.03,3.692,conductivity,mS/cm,49.3
[Cl-].C[N+](C)(C)CCO,OCC(O)CO,O,0.04,0.03,3.762,conductivity,mS/cm,49.4
[Cl-].C[N+](C)(C)CCO,OCC(O)CO,O,0.04,0.03,5.823,conductivity,mS/cm,59.6
[Cl-].C[N+](C)(C)CCO,OCC(O)CO,O,0.04,0.03,6.041,conductivity,mS/cm,59.9
[Cl-].C[N+](C)(C)CCO,OCC(O)CO,O,0.04,0.03,6.2,conductivity,mS/cm,60.1
[Cl-].C[N+](C)(C)CCO,OCC(O)CO,O,0.04,0.03,4.25,electrochemical_window,V,26
[Cl-].C[N+](C)(C)CCO,NC(=O)C(F)(F)F,O,0,0.03,627.2,viscosity,cp,5
[Cl-].C[N+](C)(C)CCO,NC(=O)C(F)(F)F,O,0,0.03,431,viscosity,cp,10
[Cl-].C[N+](C)(C)CCO,NC(=O)C(F)(F)F,O,0,0.03,307.3,viscosity,cp,15
[Cl-].C[N+](C)(C)CCO,NC(=O)C(F)(F)F,O,0,0.03,166.1,viscosity,cp,25
[Cl-].C[N+](C)(C)CCO,NC(=O)C(F)(F)F,O,0,0.03,58.4,viscosity,cp,35
[Cl-].C[N+](C)(C)CCO,NC(=O)C(F)(F)F,O,0,0.03,34.7,viscosity,cp,45
[Cl-].C[N+](C)(C)CCO,NC(=O)C(F)(F)F,O,0,0.03,21.2,viscosity,cp,55
[Cl-].C[N+](C)(C)CCO,NC(=O)C(F)(F)F,O,0,0.03,0.165,conductivity,mS/cm,-4.8
[Cl-].C[N+](C)(C)CCO,NC(=O)C(F)(F)F,O,0,0.03,1.155,conductivity,mS/cm,26.1
[Cl-].C[N+](C)(C)CCO,NC(=O)C(F)(F)F,O,0,0.03,2.215,conductivity,mS/cm,39
[Cl-].C[N+](C)(C)CCO,NC(=O)C(F)(F)F,O,0,0.03,2.286,conductivity,mS/cm,39.2
[Cl-].C[N+](C)(C)CCO,NC(=O)C(F)(F)F,O,0,0.03,2.323,conductivity,mS/cm,39.3
[Cl-].C[N+](C)(C)CCO,NC(=O)C(F)(F)F,O,0,0.03,5.236,conductivity,mS/cm,58.7
[Cl-].C[N+](C)(C)CCO,NC(=O)C(F)(F)F,O,0,0.03,3.61,electrochemical_window,V,26
[Cl-].C[N+](C)(C)CCO,NC(=O)C(F)(F)F,O,0,0.03,3.22,electrochemical_window,V,44
[Cl-].C[N+](C)(C)CCO,C(CO)O,O,0.04,0.03,66.8,viscosity,cp,5.1
[Cl-].C[N+](C)(C)CCO,C(CO)O,O,0.04,0.03,52.5,viscosity,cp,10
[Cl-].C[N+](C)(C)CCO,C(CO)O,O,0.04,0.03,42,viscosity,cp,15
[Cl-].C[N+](C)(C)CCO,C(CO)O,O,0.04,0.03,28.5,viscosity,cp,25
[Cl-].C[N+](C)(C)CCO,C(CO)O,O,0.04,0.03,15.7,viscosity,cp,35
[Cl-].C[N+](C)(C)CCO,C(CO)O,O,0.04,0.03,13.5,viscosity,cp,40
[Cl-].C[N+](C)(C)CCO,C(CO)O,O,0.04,0.03,10.2,viscosity,cp,45.1
[Cl-].C[N+](C)(C)CCO,C(CO)O,O,0.04,0.03,3.397,conductivity,mS/cm,-0.8
[Cl-].C[N+](C)(C)CCO,C(CO)O,O,0.04,0.03,9.224,conductivity,mS/cm,26.3
[Cl-].C[N+](C)(C)CCO,C(CO)O,O,0.04,0.03,9.248,conductivity,mS/cm,26.5
[Cl-].C[N+](C)(C)CCO,C(CO)O,O,0.04,0.03,14.652,conductivity,mS/cm,40.2
[Cl-].C[N+](C)(C)CCO,C(CO)O,O,0.04,0.03,24.303,conductivity,mS/cm,60
[Cl-].C[N+](C)(C)CCO,C(CO)O,O,0.04,0.03,24.325,conductivity,mS/cm,60.3
[Cl-].C[N+](C)(C)CCO,C(CO)O,O,0.04,0.03,24.48,conductivity,mS/cm,60.4
[Cl-].C[N+](C)(C)CCO,C(CO)O,O,0.04,0.03,1.1145,density,g/cc,25.4
[Cl-].C[N+](C)(C)CCO,C(CO)O,O,0.04,0.03,1.1197,density,g/cc,14.8
[Cl-].C[N+](C)(C)CCO,C(CO)O,O,0.04,0.03,1.1192,density,g/cc,16.3
[Cl-].C[N+](C)(C)CCO,C(CO)O,O,0.04,0.03,1.1059,density,g/cc,36.5
[Cl-].C[N+](C)(C)CCO,C(CO)O,O,0.04,0.03,1.1,density,g/cc,45.5
[Cl-].C[N+](C)(C)CCO,C(CO)O,O,0.04,0.03,1.1003,density,g/cc,46
[Cl-].C[N+](C)(C)CCO,C(CO)O,O,0.04,0.03,3.89,electrochemical_window,V,26.4
[Cl-].C[N+](C)(C)CCO,C(CO)CO,O,0.04,0.03,112.1,viscosity,cp,6.7
[Cl-].C[N+](C)(C)CCO,C(CO)CO,O,0.04,0.03,109.9,viscosity,cp,7.2
[Cl-].C[N+](C)(C)CCO,C(CO)CO,O,0.04,0.03,106.9,viscosity,cp,7.6
[Cl-].C[N+](C)(C)CCO,C(CO)CO,O,0.04,0.03,95.63,viscosity,cp,9.9
[Cl-].C[N+](C)(C)CCO,C(CO)CO,O,0.04,0.03,75.4,viscosity,cp,15
[Cl-].C[N+](C)(C)CCO,C(CO)CO,O,0.04,0.03,49.9,viscosity,cp,25
[Cl-].C[N+](C)(C)CCO,C(CO)CO,O,0.04,0.03,32.6,viscosity,cp,35
[Cl-].C[N+](C)(C)CCO,C(CO)CO,O,0.04,0.03,21.65,viscosity,cp,45
[Cl-].C[N+](C)(C)CCO,C(CO)CO,O,0.04,0.03,16,viscosity,cp,55
[Cl-].C[N+](C)(C)CCO,C(CO)CO,O,0.04,0.03,1.0799,density,g/cc,9.1
[Cl-].C[N+](C)(C)CCO,C(CO)CO,O,0.04,0.03,1.0761,density,g/cc,14.1
[Cl-].C[N+](C)(C)CCO,C(CO)CO,O,0.04,0.03,1.072,density,g/cc,19.8
[Cl-].C[N+](C)(C)CCO,C(CO)CO,O,0.04,0.03,1.0714,density,g/cc,20.3
[Cl-].C[N+](C)(C)CCO,C(CO)CO,O,0.04,0.03,1.0687,density,g/cc,34.4
[Cl-].C[N+](C)(C)CCO,C(CO)CO,O,0.04,0.03,1.0695,density,g/cc,36.9
[Cl-].C[N+](C)(C)CCO,C(CO)CO,O,0.04,0.03,1.0645,density,g/cc,44.3
[Cl-].C[N+](C)(C)CCO,C(CO)CO,O,0.04,0.03,1.054,conductivity,mS/cm,-7.4
[Cl-].C[N+](C)(C)CCO,C(CO)CO,O,0.04,0.03,1.091,conductivity,mS/cm,-6.9
[Cl-].C[N+](C)(C)CCO,C(CO)CO,O,0.04,0.03,2.185,conductivity,mS/cm,10.4
[Cl-].C[N+](C)(C)CCO,C(CO)CO,O,0.04,0.03,4.407,conductivity,mS/cm,27.4
[Cl-].C[N+](C)(C)CCO,C(CO)CO,O,0.04,0.03,6.909,conductivity,mS/cm,39.8
[Cl-].C[N+](C)(C)CCO,C(CO)CO,O,0.04,0.03,3.93,electrochemical_window,V,29
[Cl-].C[N+](C)(C)CCO,CNC=O,O,0.05,0.03,1.0305,density,g/cc,16.4
[Cl-].C[N+](C)(C)CCO,CNC=O,O,0.05,0.03,1.0203,density,g/cc,29
[Cl-].C[N+](C)(C)CCO,CNC=O,O,0.05,0.03,1.0169,density,g/cc,33.4
[Cl-].C[N+](C)(C)CCO,CNC=O,O,0.05,0.03,1.0105,density,g/cc,39.1
[Cl-].C[N+](C)(C)CCO,CNC=O,O,0.05,0.03,3.3882,conductivity,mS/cm,-18.5
[Cl-].C[N+](C)(C)CCO,CNC=O,O,0.05,0.03,3.3999,conductivity,mS/cm,-18.4
[Cl-].C[N+](C)(C)CCO,CNC=O,O,0.05,0.03,7.2752,conductivity,mS/cm,-9
[Cl-].C[N+](C)(C)CCO,CNC=O,O,0.05,0.03,7.5821,conductivity,mS/cm,-8.5
[Cl-].C[N+](C)(C)CCO,CNC=O,O,0.05,0.03,7.7303,conductivity,mS/cm,-7.5
[Cl-].C[N+](C)(C)CCO,CNC=O,O,0.05,0.03,12.161,conductivity,mS/cm,10.4
[Cl-].C[N+](C)(C)CCO,CNC=O,O,0.05,0.03,18.3838,conductivity,mS/cm,29.8
[Cl-].C[N+](C)(C)CCO,CNC=O,O,0.05,0.03,21.961,conductivity,mS/cm,40.5
[Cl-].C[N+](C)(C)CCO,CNC=O,O,0.05,0.03,22.1082,conductivity,mS/cm,40.6
[Cl-].C[N+](C)(C)CCO,CNC=O,O,0.05,0.03,28.8196,conductivity,mS/cm,58.4
[Cl-].C[N+](C)(C)CCO,CNC=O,O,0.05,0.03,28.9674,conductivity,mS/cm,58.5
[Cl-].C[N+](C)(C)CCO,CNC=O,O,0.05,0.03,29.0419,conductivity,mS/cm,58.8
[Cl-].C[N+](C)(C)CCO,CNC=O,O,0.05,0.03,3.74,electrochemical_window,V,30
[Cl-].C[N+](C)(C)CCO,CC(CO)O,O,0.04,0.03,152.25,viscosity,cp,10
[Cl-].C[N+](C)(C)CCO,CC(CO)O,O,0.04,0.03,113.6,viscosity,cp,15
[Cl-].C[N+](C)(C)CCO,CC(CO)O,O,0.04,0.03,67.1,viscosity,cp,25
[Cl-].C[N+](C)(C)CCO,CC(CO)O,O,0.04,0.03,40.1,viscosity,cp,35
[Cl-].C[N+](C)(C)CCO,CC(CO)O,O,0.04,0.03,25.1,viscosity,cp,45
[Cl-].C[N+](C)(C)CCO,CC(CO)O,O,0.04,0.03,18,viscosity,cp,55
[Cl-].C[N+](C)(C)CCO,CC(CO)O,O,0.04,0.03,12,viscosity,cp,65
[Cl-].C[N+](C)(C)CCO,CC(CO)O,O,0.04,0.03,1.0732,density,g/cc,16.3
[Cl-].C[N+](C)(C)CCO,CC(CO)O,O,0.04,0.03,1.0707,density,g/cc,17.3
[Cl-].C[N+](C)(C)CCO,CC(CO)O,O,0.04,0.03,1.0669,density,g/cc,27.6
[Cl-].C[N+](C)(C)CCO,CC(CO)O,O,0.04,0.03,1.0596,density,g/cc,37
[Cl-].C[N+](C)(C)CCO,CC(CO)O,O,0.04,0.03,1.0557,density,g/cc,43.2
[Cl-].C[N+](C)(C)CCO,CC(CO)O,O,0.04,0.03,0.811,conductivity,mS/cm,-0.4
[Cl-].C[N+](C)(C)CCO,CC(CO)O,O,0.04,0.03,3.138,conductivity,mS/cm,26.5
[Cl-].C[N+](C)(C)CCO,CC(CO)O,O,0.04,0.03,9.139,conductivity,mS/cm,49.8
[Cl-].C[N+](C)(C)CCO,CC(CO)O,O,0.04,0.03,3.91,electrochemical_window,V,26
CCN.Cl,C(CO)O,O,0.04,0.03,1.0993,density,g/cc,26.9
CCN.Cl,C(CO)O,O,0.04,0.03,1.0993,density,g/cc,27.2
CCN.Cl,C(CO)O,O,0.04,0.03,1.096,density,g/cc,31.6
CCN.Cl,C(CO)O,O,0.04,0.03,1.0937,density,g/cc,34.4
CCN.Cl,C(CO)O,O,0.04,0.03,1.0883,density,g/cc,41.5
CCN.Cl,C(CO)O,O,0.04,0.03,1.0869,density,g/cc,43.8
